"region_id","min_absolute_no2","min_relative_no2","min_absolute_o3","min_relative_o3","min_absolute_pm10","min_relative_pm10","min_absolute_pm25","min_relative_pm25","min_relative_traffic_mapbox","min_relative_traffic_apple","min_relative_traffic_tomtom","avg_absolute_no2","avg_relative_no2","avg_absolute_o3","avg_relative_o3","avg_absolute_pm10","avg_relative_pm10","avg_absolute_pm25","avg_relative_pm25","avg_relative_traffic_mapbox","avg_relative_traffic_apple","avg_relative_traffic_tomtom"
"cardiff",-14.8150329425175,-0.382678969203977,-49.4310974067147,-0.514818467094669,-7.47026248164388,-0.321445969547128,-5.80935709985938,-0.370004674679779,-0.716637183291486,-0.8932,-0.818181818181818,-2.67474792823617,-0.105950866068528,-3.38715869504559,-0.0160088722541732,4.76723741829124,0.223637009396823,3.73046201841654,0.328873894313221,-0.568262540437154,-0.731925595238095,-0.667733030727714
"york",-12.2644747231719,-0.451477608470095,,,-9.83498648096477,-0.370268125199473,-4.71604495059806,-0.375707413412435,-0.743888539970495,,,-2.33630656633214,-0.0885361183730233,,,2.61297853896405,0.166450047916928,2.92127087083298,0.30868613928203,-0.568320597701487,,
"dundee",-5.20549389530187,-0.508539795066871,,,,,,,-0.787441732931176,,,-0.773529755763573,-0.075124139006256,,,,,,,-0.627342692258071,,
"sunderland",-12.9285486739437,-0.533721874240755,-18.781242714839,-0.255788759762604,-9.75498365491216,-0.763780923452401,-13.6391575620871,-0.722026882389198,,,,-2.0252178759809,-0.0749883037012896,5.57314092591715,0.108433687515425,2.39425033224122,0.223840588246824,-1.56724453939007,-0.106492327684116,,,
"leicester",-14.4013981900413,-0.439535280000493,-28.8989503064016,-0.351979712396294,-9.6946982338243,-0.38249928511023,-4.63621743937046,-0.324811284243522,-0.778227628022143,,-0.842105263157895,-2.25600587390541,-0.0486519671283395,3.94185740840231,0.105063410802863,0.248929092056607,0.0152299534916513,1.86182335866515,0.170069510902548,-0.619766452670168,,-0.652565140055117
"swansea",-8.67762786583917,-0.440317475257685,-20.7385441411028,-0.259442202516117,-5.85488283181213,-0.331968997852819,-6.69996964564915,-0.476682296481668,-0.729648314472076,,-0.82051282051282,-0.854918315777951,-0.0452587782907249,3.21400099372854,0.0650445320684393,5.0289027604904,0.242846516831868,1.507045539827,0.0816709953009224,-0.514021834424159,,-0.623869668200164
"reading",-17.3528287165763,-0.379290453499024,-33.4175526451629,-0.376694939575006,-9.145332665342,-0.411449126114814,-6.0076818628529,-0.506037334733704,-0.806750885575042,-0.8643,-0.878787878787879,-2.80256551128695,-0.0440965948182535,2.89082865571628,0.102037234830628,3.99688042120144,0.210225836538139,2.27168138365542,0.21369870872508,-0.588637336425835,-0.6688125,-0.704542820332294
"london",-15.9099880141019,-0.291534110935819,-22.8760594369806,-0.362398853173582,-23.7433050637868,-0.49165081812629,-17.3834892023251,-0.524040276677701,-0.82150140284282,-0.8879,-0.848484848484849,-1.84454762098365,-0.0438856685586893,6.38698519110206,0.169804498358234,-0.268790286411094,0.0135238364595475,1.08316455416074,0.110530007500299,-0.71616478681342,-0.720944047619048,-0.675106555180023
"southend",-15.18834219731,-0.456563850389663,-30.9027483436541,-0.427965176136356,-3.93142893098106,-0.364716070501178,-6.70874459678854,-0.344756766497855,-0.721524631427544,,,-1.14797084642139,-0.0300211572264728,-2.82984849261887,-0.0179054436295989,6.81392173876646,0.556415790509384,3.3393527720277,0.263151685915801,-0.52176654391251,,
"birkenhead",-12.9349886162325,-0.414310317594896,-35.4647423236865,-0.4735435819507,-10.215306903108,-0.684089676459019,-12.9318701005276,-0.463486412080361,,,,-0.43438490589872,-0.00197433983760243,-0.442586319974186,0.00995794514403459,3.7546475009779,0.259433376655634,0.348928616483673,0.13096743901291,,,
"plymouth",-13.7061149772838,-0.50175535996497,-31.3470106026473,-0.315395290000336,-13.0301809111729,-0.404511823574184,-7.6542415707882,-0.371668108908554,-0.680861736371271,,,0.00238846635734266,0.0178750715368015,4.70357250866153,0.120697842449662,6.55356987960603,0.347726333729126,6.67699143953399,0.510439498779406,-0.50364929523131,,
"norwich",-7.98454556436919,-0.42880503557994,-19.5017120630882,-0.276282823391073,-6.96304302586226,-0.455586649998968,-3.76552853915467,-0.372183938412398,,,,-0.0751235468581582,0.0289856178445491,1.39128853024204,0.041380783474729,3.09851867096459,0.22021731473266,3.57758453497535,0.383801184223563,,,
"middlesbrough",-12.5771123803269,-0.521552817749172,-18.6342581973441,-0.319487900956389,-8.77319602572264,-0.383104668575823,-6.70797097506573,-0.47989023390919,-0.752837667935672,,-0.8,-0.456729712930981,0.0426106812193696,4.25954480256196,0.0967371977360074,1.61575934501606,0.0989043600536925,0.726894496400449,0.0905982252992733,-0.459334643270893,,-0.547762964780509
"southampton",-10.7983264884256,-0.349713877386084,-18.1160506021648,-0.364776052103878,-14.3114510936769,-0.509781397486703,-10.2346034646844,-0.552439483940041,-0.75735882206401,,-0.868421052631579,3.22714145434201,0.0931855768025713,3.14090228895759,0.0736522504757037,4.37608735775636,0.193656171999262,2.93058351089525,0.190452793965706,-0.590970736818849,,-0.711632044677672
"bournemouth",-12.1722735457317,-0.409273532912009,-30.7701428981455,-0.349556607851722,,,-12.4253787347142,-0.560799997512529,-0.687151811397484,,-0.822222222222222,1.71074769937175,0.156049873459126,-3.88886131797336,-0.0279661321675065,,,3.88734766426654,0.268022839616081,-0.483756185352865,,-0.616803680795979
"swindon",-9.14763904208152,-0.439315540062433,,,,,,,-0.753731860256793,,,1.2011615513635,0.168063506907732,,,,,,,-0.555119737234996,,
"edinburgh",-24.0821315458661,-0.536776161555828,-43.8803255921057,-0.419420689406137,-18.1505202455703,-0.740906077843281,-11.0102776552924,-0.754143592857988,-0.74079471427107,-0.9113,-0.804347826086957,2.06816501690279,0.196111122829219,-0.350640903571254,0.0279195946679025,-1.88166934298966,-0.0856012490089275,-1.12569030044787,-0.125229442741903,-0.601435229682572,-0.765966666666667,-0.639890288051885
"milton keynes",,,,,,,,,-0.738661726970438,,,,,,,,,,,-0.589895961662205,,
"peterborough",,,,,,,,,-0.799915162847236,,,,,,,,,,,-0.621338996323651,,
"slough",,,,,,,,,-0.850271874753737,,,,,,,,,,,-0.724599207790573,,
"stoke",,,,,,,,,-0.809341775176204,,,,,,,,,,,-0.641816317829617,,
